Date,Weekly_Sales(t+1)
2010-02-12,-1.0663388818831343
2010-02-19,-1.0553080246319537
2010-02-26,-1.0260790820007213
2010-03-05,-1.077561988278527
2010-03-12,-1.0530267538504667
2010-03-19,-0.8928639275099824
2010-03-26,-0.9946775311477741
2010-04-02,-0.8874803084983168
2010-04-09,-0.8344864139633256
2010-04-16,-0.6529980780372786
2010-04-23,-0.5532670662994972
2010-04-30,-0.8936104200064047
2010-05-07,-0.7271811717278224
2010-05-14,-0.8573608472559346
2010-05-21,-0.505209281062554
2010-05-28,-0.026616288586710692
2010-06-04,0.4642954375144168
2010-06-11,0.14217395921543977
2010-06-18,0.08146245104172613
2010-06-25,0.9260791678593662
2010-07-02,1.0477940942786073
2010-07-09,1.3778968054441558
2010-07-16,0.843581780911943
2010-07-23,1.050284331521194
2010-07-30,0.8451519227519634
2010-08-06,1.2478502254774213
2010-08-13,1.0186673844698824
2010-08-20,0.4509762367707581
2010-08-27,0.7523958899988407
2010-09-03,0.5467484592747135
2010-09-10,0.8110312360098084
2010-09-17,0.29796520718970976
2010-09-24,0.03671919536469412
2010-10-01,-0.6454830011223919
2010-10-08,-0.6122926973624276
2010-10-15,-0.5297014362509413
2010-10-22,0.9085793519462518
2010-10-29,-1.0896357489140291
2010-11-05,-0.17415561175556818
2010-11-12,-1.1095036370617024
2010-11-19,-1.1601030974393494
2010-11-26,-0.9342097100163896
2010-12-03,-1.1353974749737765
2010-12-10,-1.0009188771105402
2010-12-17,-0.9190046673330181
2010-12-24,-0.2208927289583585
2010-12-31,-0.5534490278640858
2011-01-07,-0.9757824622482378
2011-01-14,-1.0236653586315834
2011-01-21,-1.1292435734378097
2011-01-28,-1.106639832084041
2011-02-04,-1.0194525947758049
2011-02-11,-1.0332784588159154
2011-02-18,-1.1121803366849632
2011-02-25,-1.0416538345768083
2011-03-04,-1.1018689670336934
2011-03-11,-0.9983366946250689
2011-03-18,-0.8417674484417802
2011-03-25,-0.8669694466241816
2011-04-01,-0.8898908169988226
2011-04-08,-0.7410886934311939
2011-04-15,-0.7785644170780266
2011-04-22,-0.92131230003729
2011-04-29,-0.8252005874057624
2011-05-06,-0.659297291635426
2011-05-13,-0.5534181651252157
2011-05-20,-0.5374544134446192
2011-05-27,-0.30186626817406664
2011-06-03,0.44933343889964766
2011-06-10,0.5466648726902736
2011-06-17,0.6193324773075467
2011-06-24,0.888884423730997
2011-07-01,1.7534526152807504
2011-07-08,2.5708085320438574
2011-07-15,1.2482250791599487
2011-07-22,1.9255798967232378
2011-07-29,1.7663538831022088
2011-08-05,1.6555373613464972
2011-08-12,1.807762677033809
2011-08-19,0.891123901220264
2011-08-26,1.2670037698149952
2011-09-02,1.2378217642657947
2011-09-09,1.6809232500146667
2011-09-16,0.9045659099456766
2011-09-23,0.8073740014536932
2011-09-30,-0.38932226849996376
2011-10-07,-0.4925639167842274
2011-10-14,-0.38307770766856547
2011-10-21,2.2833561970757073
2011-10-28,-0.7987660085897336
2011-11-04,-0.04839959546551383
2011-11-11,-1.0370482137741617
2011-11-18,-1.0148771937383017
2011-11-25,-0.4688272557244329
2011-12-02,-0.8620854181979768
2011-12-09,-0.8704717245122197
2011-12-16,-0.7501469072895892
2011-12-23,0.2656191279325896
2011-12-30,-0.33534976795329735
2012-01-06,-0.4857940464183098
2012-01-13,-0.9733121571911711
2012-01-20,-0.8835652414778902
2012-01-27,-1.0859560102774872
2012-02-03,-0.9278590585201252
2012-02-10,-0.9862134250126295
2012-02-17,-0.8952075667429361
2012-02-24,-0.9082740788120952
2012-03-02,-0.9005474635412023
2012-03-09,-0.8441901734430888
2012-03-16,-0.6764833363700268
2012-03-23,-0.5979865319486499
2012-03-30,-0.4094717791398272
2012-04-06,0.1633065766830635
2012-04-13,0.1414975508552018
2012-04-20,-0.24893152722190992
2012-04-27,0.035170914631373944
2012-05-04,0.053495022861812014
2012-05-11,-0.3101117632422141
2012-05-18,-0.20486210801021
2012-05-25,0.3437983033330943
2012-06-01,0.944461143725186
2012-06-08,0.875216731227596
2012-06-15,1.2944413876443044
2012-06-22,1.4953475301095016
2012-06-29,1.4443635714434302
2012-07-06,2.555235065415224
2012-07-13,1.441810965749376
2012-07-20,1.5143396880417335
2012-07-27,1.3803645386063166
2012-08-03,1.6458155986023928
2012-08-10,1.5284169548088908
2012-08-17,1.3170399852082615
2012-08-24,1.3952358779256544
2012-08-31,1.2784583467519144
2012-09-07,1.3778286502291506
2012-09-14,0.777187670943759
2012-09-21,0.5602560513202255
2012-09-28,-0.14456531789006433
2012-10-05,-0.3600155260478296
2012-10-12,-0.11588740374240983
2012-10-19,1.7402819414679043
2012-10-26,-0.5395415061607146
2010-02-12,1.3076141856352972
2010-02-19,1.1662276813256338
2010-02-26,0.5131042141858015
2010-03-05,1.6036558092068862
2010-03-12,0.9790437949575557
2010-03-19,1.9329607944840603
2010-03-26,1.3127104356688648
2010-04-02,0.7965199930796321
2010-04-09,-0.24655842595307986
2010-04-16,0.5473546873843758
2010-04-23,-0.05609181996878495
2010-04-30,0.563079603028493
2010-05-07,0.6651652962684788
2010-05-14,1.4511356054995632
2010-05-21,1.511877396440198
2010-05-28,4.242962380645527
2010-06-04,1.2165474113868098
